0,Service 1,2,Cloud 2,838,204,81,5
1,Service 1,2,Cloud 2,127,113,88,21
2,Service 3,1,Cloud 1,871,906,93,18
3,Service 7,1,Cloud 1,389,230,41,14
4,Service 6,0,Cloud 0,390,854,11,53
5,Service 5,1,Cloud 1,802,400,14,69
6,Service 7,1,Cloud 1,399,886,90,24
7,Service 8,0,Cloud 0,235,830,84,17
8,Service 2,2,Cloud 2,163,779,58,87
9,Service 5,1,Cloud 1,984,424,43,2
10,Service 9,1,Cloud 1,647,16,71,75
11,Service 0,0,Cloud 0,625,723,42,45
12,Service 5,1,Cloud 1,544,489,33,99
13,Service 3,0,Cloud 0,437,546,29,12
14,Service 5,2,Cloud 2,622,221,14,85
15,Service 0,0,Cloud 0,729,961,25,46
16,Service 2,0,Cloud 0,59,522,9,74
17,Service 0,0,Cloud 0,779,737,29,24
18,Service 0,0,Cloud 0,550,654,67,24
19,Service 8,0,Cloud 0,858,348,17,6
20,Service 8,0,Cloud 0,225,479,43,56
21,Service 5,2,Cloud 2,116,289,77,23
22,Service 6,0,Cloud 0,598,347,12,32
23,Service 2,1,Cloud 1,333,323,80,18
24,Service 5,1,Cloud 1,777,50,58,96
25,Service 9,1,Cloud 1,148,881,89,43
26,Service 7,2,Cloud 2,441,346,67,3
27,Service 7,0,Cloud 0,815,771,59,38
28,Service 6,0,Cloud 0,549,732,85,82
29,Service 7,2,Cloud 2,673,420,5,88
30,Service 6,1,Cloud 1,612,530,33,89
31,Service 3,1,Cloud 1,223,707,58,48
32,Service 1,2,Cloud 2,170,662,43,14
33,Service 8,2,Cloud 2,124,185,30,97
34,Service 6,0,Cloud 0,75,290,66,3
35,Service 4,0,Cloud 0,856,388,39,69
36,Service 6,0,Cloud 0,853,482,99,14
37,Service 3,1,Cloud 1,169,961,65,4
38,Service 1,2,Cloud 2,626,234,5,43
39,Service 4,2,Cloud 2,675,305,22,49
40,Service 3,0,Cloud 0,352,558,3,48
41,Service 2,2,Cloud 2,483,777,48,60
42,Service 5,1,Cloud 1,684,130,59,81
43,Service 0,0,Cloud 0,614,420,85,60
44,Service 9,0,Cloud 0,12,798,22,46
45,Service 7,2,Cloud 2,158,623,80,22
46,Service 8,1,Cloud 1,883,130,75,22
47,Service 9,0,Cloud 0,576,138,92,64
48,Service 7,1,Cloud 1,652,77,41,16
49,Service 8,1,Cloud 1,736,497,50,51
50,Service 9,0,Cloud 0,834,262,85,5
51,Service 9,0,Cloud 0,282,883,0,48
52,Service 0,2,Cloud 2,846,861,69,24
53,Service 8,0,Cloud 0,334,88,66,42
54,Service 6,1,Cloud 1,585,740,38,0
55,Service 1,0,Cloud 0,290,377,29,10
56,Service 9,2,Cloud 2,851,725,68,80
57,Service 4,1,Cloud 1,307,645,15,36
58,Service 7,1,Cloud 1,587,44,61,21
59,Service 9,0,Cloud 0,507,169,41,69
60,Service 5,0,Cloud 0,952,896,34,82
61,Service 3,2,Cloud 2,905,551,34,94
62,Service 5,2,Cloud 2,91,647,93,44
63,Service 9,1,Cloud 1,276,426,25,16
64,Service 0,2,Cloud 2,923,670,16,20
65,Service 7,2,Cloud 2,213,433,21,45
66,Service 7,2,Cloud 2,668,960,2,92
67,Service 0,0,Cloud 0,811,245,66,20
68,Service 5,1,Cloud 1,491,570,77,81
69,Service 8,0,Cloud 0,419,696,80,9
70,Service 0,1,Cloud 1,131,741,19,76
71,Service 4,0,Cloud 0,92,871,70,91
72,Service 3,0,Cloud 0,992,249,14,17
73,Service 5,1,Cloud 1,816,256,68,14
74,Service 2,2,Cloud 2,936,440,62,29
75,Service 0,2,Cloud 2,648,868,88,53
76,Service 5,2,Cloud 2,257,618,79,11
77,Service 6,1,Cloud 1,612,790,41,30
78,Service 8,2,Cloud 2,667,269,54,25
79,Service 1,2,Cloud 2,903,450,54,6
80,Service 6,0,Cloud 0,116,471,87,7
81,Service 3,0,Cloud 0,857,107,65,35
82,Service 8,2,Cloud 2,435,21,48,68
83,Service 8,0,Cloud 0,914,519,39,66
84,Service 5,2,Cloud 2,787,104,37,88
85,Service 4,2,Cloud 2,443,711,43,36
86,Service 1,2,Cloud 2,585,738,90,73
87,Service 6,1,Cloud 1,538,8,42,37
88,Service 9,0,Cloud 0,483,418,18,38
89,Service 7,1,Cloud 1,27,717,54,51
90,Service 9,0,Cloud 0,513,485,90,12
91,Service 1,0,Cloud 0,464,5,57,34
92,Service 3,2,Cloud 2,144,10,98,95
93,Service 9,2,Cloud 2,154,362,92,99
94,Service 5,2,Cloud 2,63,256,62,7
95,Service 9,1,Cloud 1,584,45,78,65
96,Service 0,1,Cloud 1,546,630,19,79
97,Service 1,2,Cloud 2,618,904,5,51
98,Service 6,0,Cloud 0,777,40,57,85
99,Service 7,1,Cloud 1,953,590,56,59
